"probe","HR","CI_lower","CI_upper","p_value"
"ILMN_2413323",1.27420898372414,1.15785674865268,1.4022533755515,7.04410579793838e-07
"ILMN_1698995",1.16536626129398,1.09459320683605,1.24071528535049,1.68872269613984e-06
"ILMN_1810054",1.17010283960687,1.09568086171524,1.24957978467628,2.79509855651191e-06
"ILMN_1729216",1.25971939655787,1.14228897827222,1.38922198169537,3.75270206677716e-06
"ILMN_1795325",1.23551085710986,1.12895379711567,1.35212537655333,4.31094336573359e-06
"ILMN_1712075",1.19258637521686,1.10596296343395,1.28599447664762,4.69855200338308e-06
"ILMN_2400935",1.2177881709599,1.11793947331136,1.32655484910748,6.35361899244154e-06
"ILMN_1660086",1.2017012884707,1.10928825363504,1.30181310581808,6.78001395483056e-06
"ILMN_2163723",1.21559915296741,1.11585577586278,1.32425832500847,7.83753655624098e-06
"ILMN_1726204",1.17156658801719,1.09238261533253,1.25649040079277,9.21583921399892e-06
"ILMN_1675062",1.22828173498013,1.12093096779648,1.34591340932578,1.05033098407238e-05
"ILMN_1794638",1.20712587512293,1.10956262670098,1.31326780780622,1.19818696807414e-05
"ILMN_1657111",1.26000708563554,1.13566724709431,1.39796041482557,1.30067320068306e-05
"ILMN_2200836",1.23048540711416,1.120894219283,1.35079145834959,1.31266955540614e-05
"ILMN_1808238",1.22055231099105,1.11543245465723,1.33557880411807,1.44156489437321e-05
"ILMN_2368834",1.16726062105715,1.08675615281167,1.25372868048242,2.21682987656751e-05
"ILMN_2364768",1.23516513255627,1.11998790638824,1.36218694503822,2.34754241791231e-05
"ILMN_1749792",1.21583182985739,1.11044489237875,1.33122053029368,2.3930822405387e-05
"ILMN_1765310",1.1883636710633,1.09607186073804,1.28842666734655,2.86456319728567e-05
"ILMN_1666845",1.15544346569496,1.07944098676426,1.23679721150771,3.15416211542942e-05
"ILMN_1719759",1.24723921435381,1.1235519855102,1.38454266280836,3.37906878176404e-05
"ILMN_1691476",1.18617078271957,1.09300396960636,1.28727906293357,4.29840292322768e-05
"ILMN_1791494",1.19268787848994,1.0960156801034,1.2978868836645,4.39114690660843e-05
"ILMN_1752965",1.2296583058003,1.11021241062759,1.3619551849262,7.32762218708215e-05
"ILMN_1805842",1.19722604611958,1.09407268287348,1.31010510356822,9.01041255152533e-05
"ILMN_1676822",1.14115758919494,1.06696091768735,1.22051391179335,0.000118307207343254
"ILMN_1651958",1.19632702451826,1.09165641850894,1.31103369643311,0.0001243987976914
"ILMN_1721283",1.16622719066673,1.07809401673582,1.26156516884157,0.000125268701822315
"ILMN_1686573",1.17830231904345,1.08314036139014,1.28182496429295,0.000134071689723282
"ILMN_1776953",1.18976471253112,1.08823167598226,1.30077087666701,0.00013460168852026
"ILMN_1795251",1.22060354235215,1.10108986568676,1.3530893835567,0.000149611004745548
"ILMN_2322831",0.825645523091852,0.747412103546757,0.912067822512822,0.000161828552888378
"ILMN_1852022",1.18910924238983,1.086342766901,1.30159727980752,0.000172768079912468
"ILMN_1695299",1.20964006767532,1.09523571514563,1.33599468414979,0.000173610905282341
"ILMN_1722898",1.17827145947759,1.08149722978445,1.2837052134624,0.000175586335019244
"ILMN_1652065",1.16954046615226,1.07698582112614,1.27004912705108,0.000196719564546339
"ILMN_1736670",1.19524703741676,1.08811207100762,1.31293045865267,0.00019729005016766
"ILMN_1715748",1.19690282194467,1.0887930797366,1.3157471257309,0.000198207190019333
"ILMN_2109489",0.803046034644158,0.715272547121954,0.901590500505752,0.00020384688833387
"ILMN_1717636",1.18516231637787,1.0832674695783,1.29664164724614,0.000212387208238501
"ILMN_1736078",1.13644622287181,1.06166539889296,1.21649440475908,0.000230449246342643
"ILMN_2230025",1.20529022547938,1.0900062231823,1.33276718677337,0.000272455448324989
"ILMN_2412336",1.14159076753572,1.06282632519012,1.22619232289872,0.00028286607878154
"ILMN_1695924",1.14317058579098,1.06334252918018,1.22899155479585,0.000291267289231841
"ILMN_1745570",1.18498493706363,1.08042640273041,1.29966214960971,0.000316584860067243
"ILMN_1679391",1.19658931538014,1.08488794666501,1.31979159145736,0.000331239156692366
"ILMN_1697189",1.15126941883054,1.06585415870568,1.24352967421352,0.000341581868171623
"ILMN_2124585",1.20705759455759,1.08857255646074,1.33843906676854,0.000357018199514859
"ILMN_1717990",1.15893073677046,1.06873236859911,1.25674162409049,0.000359715324005753
"ILMN_1810628",1.16022136046549,1.06918720334301,1.25900646871897,0.0003643040025958
"ILMN_2218208",1.22067673420254,1.09271923057435,1.36361807107594,0.000416466513792007
"ILMN_1672776",1.18213687401458,1.07696976983729,1.29757364416654,0.000431761836686213
"ILMN_2071809",1.18927010539583,1.07928720607436,1.3104606221847,0.000463289551265534
"ILMN_2316236",1.22964230452145,1.0952549435883,1.38051894302809,0.000463735009290269
"ILMN_1780170",1.13837437792096,1.05805599709629,1.22478982952071,0.00051714441917349
"ILMN_1781388",1.14471702359686,1.05933841198767,1.23697682372694,0.000631741646945793
"ILMN_1741688",1.19363738785063,1.07812189772719,1.32152979795556,0.000653279429539161
"ILMN_1685403",1.12659360083866,1.05133962974047,1.20723418536399,0.000726447932635063
"ILMN_2192072",1.12430050583119,1.0499262363838,1.20394327106823,0.000792995828641133
"ILMN_1808245",1.15186129015886,1.06022664749563,1.25141585046975,0.000829488395082576
"ILMN_1724686",1.22626479357501,1.08753996895441,1.38268513055874,0.000868330035619286
"ILMN_1694840",1.20113863147755,1.0769276259847,1.33967592363374,0.000999265215024466
"ILMN_1791890",1.18386125068993,1.07052266902293,1.30919923644803,0.00101166672838501
"ILMN_2271149",1.14487125232469,1.05594979279329,1.24128078185636,0.00103899916618364
"ILMN_1810172",1.15455288385328,1.05813090489746,1.25976129743901,0.00123828013990891
"ILMN_1709590",1.13486169732605,1.05099183155648,1.2254244356499,0.00123941731462408
"ILMN_1687848",1.14517075966806,1.05392027096325,1.24432189505202,0.00137616592198028
"ILMN_1655915",1.16079146541664,1.05915372512056,1.2721824927073,0.00142625394429119
"ILMN_1719641",1.17021191870514,1.06236609714267,1.28900568115143,0.00144049159234657
"ILMN_2297765",1.1653171598249,1.06018163957031,1.28087870257097,0.00151698677054271
"ILMN_1770800",1.18921847759099,1.06720714771452,1.32517908118637,0.00170274340842686
"ILMN_1677038",1.17799232473865,1.05726188484604,1.31250916828923,0.00298453457851871
"ILMN_1796801",1.16471710904184,1.05304619786031,1.28823022850393,0.00302569303763001
"ILMN_1678842",1.19724126820167,1.0620388112551,1.34965562378195,0.00323466702527157
"ILMN_2228463",0.872405502271944,0.795903694148574,0.956260620461811,0.0035551025382517
"ILMN_1790098",1.14321774422365,1.04477823807363,1.25093226780601,0.00357378196080071
"ILMN_1657234",0.876886077170333,0.801221074344701,0.959696664199781,0.00432391403375449
"ILMN_1709486",1.15635457719556,1.04407987606311,1.28070269225292,0.00530705093916771
"ILMN_1653278",1.15823056859867,1.04419445114969,1.28472053127592,0.00547307229178672
"ILMN_2073758",0.890523187651973,0.820513153010119,0.966506807156632,0.00551195717422253
"ILMN_1766914",1.14923432315457,1.0411892612708,1.26849130954784,0.00575746268306051
"ILMN_2162253",1.14061522105524,1.03885371814966,1.25234482947239,0.00578938074170622
"ILMN_1772910",1.16331679968953,1.04338230908333,1.29703749494166,0.00643036192321101
"ILMN_1785404",1.1319565655941,1.03534684250834,1.23758108276769,0.00646582185022711
"ILMN_1725193",1.15594300667453,1.04132419516293,1.2831779390958,0.00652726498093701
"ILMN_1734653",1.14497280232179,1.03748294373441,1.26359929671501,0.00711110711581267
"ILMN_2353161",1.09952720758226,1.02516488096731,1.17928355004993,0.00791603310832215
"ILMN_1768035",0.879605326458879,0.799057455456253,0.968272713121804,0.00884502545308885
"ILMN_1729170",0.884765771855716,0.806884136130737,0.970164656850566,0.00920629480993312
"ILMN_1702363",1.16338833625387,1.03792652901792,1.3040156341434,0.00933917372680233
